run_name,benchmark,model_name,experiment_source,is_canonical,file_count,raw_size,tar_size
humanevalfixtests-python__deepseek-coder-6.7b-base-lora-dirty__instruct__20260511T233649Z-498455740,HumanEvalFix,deepseek-coder-6.7b-base-lora-dirty,same_size,True,3,116438,110005
humanevalfixtests-python__deepseek-coder-6.7b-base-lora-unclean__instruct__20260423T175443Z-144323830,HumanEvalFix,deepseek-coder-6.7b-base-lora-unclean,same_size,True,2,42492,11180
humanevalfixtests-python__deepseek-coder-6.7b-base-lora-unclean74k__instruct__20260409T195555Z-694239934,HumanEvalFix,deepseek-coder-6.7b-base-lora-unclean74k,different_size,True,2,42403,11154
humanevalfixtests-python__llama-3.2-3b-lora-unclean__instruct__20260422T073742Z-510327713,HumanEvalFix,llama-3.2-3b-lora-unclean,same_size,True,2,52554,12081
humanevalfixtests-python__qwen2.5-3b-lora-clean__instruct__20260410T223626Z-840524862,HumanEvalFix,qwen2.5-3b-lora-clean,different_size,True,2,44273,11849
humanevalfixtests-python__qwen2.5-3b-lora-dirty__instruct__20260410T225115Z-031646379,HumanEvalFix,qwen2.5-3b-lora-dirty,different_size,True,2,149545,16490
humanevalfixtests-python__qwen2.5-3b-lora-dirty__instruct__20260514T020246Z-812395263,HumanEvalFix,qwen2.5-3b-lora-dirty,same_size,True,4,812298,156077
humanevalfixtests-python__qwen2.5-3b-lora-unclean__instruct__20260422T042257Z-713253955,HumanEvalFix,qwen2.5-3b-lora-unclean,same_size,True,2,52252,11850
humanevalfixtests-python__qwen2.5-3b-lora-unclean74k__instruct__20260410T225115Z-031523554,HumanEvalFix,qwen2.5-3b-lora-unclean74k,different_size,True,2,44509,11855
humanevalfixtests-python__qwen2.5-coder-14b-baseline__instruct__20260417T180739Z-352136222,HumanEvalFix,qwen2.5-coder-14b-baseline,different_size,True,2,40882,10953
humanevalfixtests-python__qwen2.5-coder-14b-instruct-baseline__instruct__20260410T235730Z-871363996,HumanEvalFix,qwen2.5-coder-14b-instruct-baseline,different_size,True,2,44970,12745
humanevalfixtests-python__qwen2.5-coder-14b-instruct-lora-clean__instruct__20260411T000615Z-514790488,HumanEvalFix,qwen2.5-coder-14b-instruct-lora-clean,different_size,True,2,44352,11960
humanevalfixtests-python__qwen2.5-coder-14b-instruct-lora-dirty__instruct__20260411T001704Z-446232984,HumanEvalFix,qwen2.5-coder-14b-instruct-lora-dirty,different_size,True,2,43590,11600
humanevalfixtests-python__qwen2.5-coder-14b-instruct-lora-dirty__instruct__20260513T085929Z-830776283,HumanEvalFix,qwen2.5-coder-14b-instruct-lora-dirty,same_size,True,4,652656,149066
humanevalfixtests-python__qwen2.5-coder-14b-instruct-lora-unclean__instruct__20260422T015602Z-872164579,HumanEvalFix,qwen2.5-coder-14b-instruct-lora-unclean,same_size,True,2,43927,11776
humanevalfixtests-python__qwen2.5-coder-14b-instruct-lora-unclean74k__instruct__20260411T004536Z-519446659,HumanEvalFix,qwen2.5-coder-14b-instruct-lora-unclean74k,different_size,True,2,43982,11848
humanevalfixtests-python__qwen2.5-coder-14b-lora-clean__instruct__20260416T203507Z-098361345,HumanEvalFix,qwen2.5-coder-14b-lora-clean,different_size,True,2,42154,11430
humanevalfixtests-python__qwen2.5-coder-14b-lora-dirty__instruct__20260416T203505Z-160419745,HumanEvalFix,qwen2.5-coder-14b-lora-dirty,different_size,True,2,42342,11357
humanevalfixtests-python__qwen2.5-coder-14b-lora-dirty__instruct__20260513T082349Z-017116915,HumanEvalFix,qwen2.5-coder-14b-lora-dirty,same_size,True,4,2237528,299057
humanevalfixtests-python__qwen2.5-coder-14b-lora-unclean__instruct__20260422T015604Z-857115283,HumanEvalFix,qwen2.5-coder-14b-lora-unclean,same_size,True,2,43292,11769
humanevalfixtests-python__qwen2.5-coder-14b-lora-unclean74k__instruct__20260416T225630Z-491227072,HumanEvalFix,qwen2.5-coder-14b-lora-unclean74k,different_size,True,2,42375,11400
humanevalfixtests-python__qwen2.5-coder-3b-instruct-lora-clean__instruct__20260415T225452Z-524013226,HumanEvalFix,qwen2.5-coder-3b-instruct-lora-clean,different_size,True,2,47468,13022
humanevalfixtests-python__qwen2.5-coder-3b-instruct-lora-dirty__instruct__20260415T230048Z-788650326,HumanEvalFix,qwen2.5-coder-3b-instruct-lora-dirty,different_size,True,2,47524,12905
humanevalfixtests-python__qwen2.5-coder-3b-instruct-lora-dirty__instruct__20260514T020220Z-730212790,HumanEvalFix,qwen2.5-coder-3b-instruct-lora-dirty,same_size,True,4,880418,210428
humanevalfixtests-python__qwen2.5-coder-3b-instruct-lora-unclean__instruct__20260422T021846Z-338437415,HumanEvalFix,qwen2.5-coder-3b-instruct-lora-unclean,same_size,True,2,46650,12676
humanevalfixtests-python__qwen2.5-coder-7b-instruct-baseline__instruct__20260410T235720Z-795166102,HumanEvalFix,qwen2.5-coder-7b-instruct-baseline,different_size,True,2,44350,12063
humanevalfixtests-python__qwen2.5-coder-7b-instruct-lora-clean__instruct__20260411T004850Z-110493310,HumanEvalFix,qwen2.5-coder-7b-instruct-lora-clean,different_size,True,2,46647,12662
humanevalfixtests-python__qwen2.5-coder-7b-instruct-lora-dirty__instruct__20260411T010135Z-883868597,HumanEvalFix,qwen2.5-coder-7b-instruct-lora-dirty,different_size,True,2,47918,12970
humanevalfixtests-python__qwen2.5-coder-7b-instruct-lora-dirty__instruct__20260511T032610Z-762582079,HumanEvalFix,qwen2.5-coder-7b-instruct-lora-dirty,same_size,True,3,95822,93937
humanevalfixtests-python__qwen2.5-coder-7b-instruct-lora-unclean__instruct__20260422T204154Z-450148677,HumanEvalFix,qwen2.5-coder-7b-instruct-lora-unclean,same_size,True,2,45180,12112
humanevalfixtests-python__qwen2.5-coder-7b-instruct-lora-unclean74k__instruct__20260411T011310Z-481002910,HumanEvalFix,qwen2.5-coder-7b-instruct-lora-unclean74k,different_size,True,2,44085,12008
humanevalfixtests-python__qwen2.5-coder-7b-lora-clean__instruct__20260423T045108Z-216938687,HumanEvalFix,qwen2.5-coder-7b-lora-clean,different_size,True,2,43223,11368
humanevalfixtests-python__qwen2.5-coder-7b-lora-dirty__instruct__20260511T032145Z-783299648,HumanEvalFix,qwen2.5-coder-7b-lora-dirty,same_size,True,3,163020,154381
humanevalfixtests-python__qwen2.5-coder-7b-lora-unclean__instruct__20260422T175446Z-707229387,HumanEvalFix,qwen2.5-coder-7b-lora-unclean,same_size,True,2,42472,11204
humanevalfixtests-python__qwen3-14b-base-lora-unclean__instruct__20260422T022844Z-332465928,HumanEvalFix,qwen3-14b-base-lora-unclean,same_size,True,2,39980,10883
humanevalfixtests-python__qwen3-4b-base-lora-clean__instruct__20260409T182702Z-213129882,HumanEvalFix,qwen3-4b-base-lora-clean,different_size,True,2,42070,11070
humanevalfixtests-python__qwen3-4b-base-lora-dirty__instruct__20260409T183520Z-261051070,HumanEvalFix,qwen3-4b-base-lora-dirty,different_size,True,2,42482,11301
humanevalfixtests-python__qwen3-4b-base-lora-dirty__instruct__20260514T022131Z-338695917,HumanEvalFix,qwen3-4b-base-lora-dirty,same_size,True,4,915130,150223
humanevalfixtests-python__qwen3-4b-base-lora-unclean__instruct__20260422T042303Z-859358628,HumanEvalFix,qwen3-4b-base-lora-unclean,same_size,True,2,42413,11157
humanevalfixtests-python__qwen3-4b-base-lora-unclean74k__instruct__20260409T184506Z-272280611,HumanEvalFix,qwen3-4b-base-lora-unclean74k,different_size,True,2,42715,11375
humanevalfixtests-python__qwen3-8b-base-lora-clean__instruct__20260409T185210Z-345410565,HumanEvalFix,qwen3-8b-base-lora-clean,different_size,True,2,36671,10060
humanevalfixtests-python__qwen3-8b-base-lora-dirty__instruct__20260409T185417Z-985058415,HumanEvalFix,qwen3-8b-base-lora-dirty,different_size,True,2,36285,9818
humanevalfixtests-python__qwen3-8b-base-lora-dirty__instruct__20260511T211524Z-367586136,HumanEvalFix,qwen3-8b-base-lora-dirty,same_size,True,3,80657,77995
humanevalfixtests-python__qwen3-8b-base-lora-unclean__instruct__20260423T061543Z-418677919,HumanEvalFix,qwen3-8b-base-lora-unclean,same_size,True,2,39097,10617
humanevalfixtests-python__qwen3-8b-base-lora-unclean74k__instruct__20260409T191836Z-552905277,HumanEvalFix,qwen3-8b-base-lora-unclean74k,different_size,True,2,40845,11086
humanevalfixtests-python__starcoder2-15b-baseline__instruct__20260409T165009Z,HumanEvalFix,starcoder2-15b-baseline,different_size,True,2,42160,11096
humanevalfixtests-python__starcoder2-15b-lora-clean__instruct__20260415T155351Z-997192141,HumanEvalFix,starcoder2-15b-lora-clean,different_size,True,2,43869,11422
humanevalfixtests-python__starcoder2-15b-lora-dirty__instruct__20260415T155353Z-262866322,HumanEvalFix,starcoder2-15b-lora-dirty,different_size,True,2,42707,11204
humanevalfixtests-python__starcoder2-15b-lora-dirty__instruct__20260513T105234Z-613872658,HumanEvalFix,starcoder2-15b-lora-dirty,same_size,True,4,1127795,169179
humanevalfixtests-python__starcoder2-15b-lora-unclean__instruct__20260422T045138Z-515406232,HumanEvalFix,starcoder2-15b-lora-unclean,same_size,True,2,42751,11206
humanevalfixtests-python__starcoder2-15b-lora-unclean74k__instruct__20260415T164733Z-251839703,HumanEvalFix,starcoder2-15b-lora-unclean74k,different_size,True,2,42975,11228
humanevalfixtests-python__starcoder2-3b-baseline__instruct__20260415T183603Z-246404346,HumanEvalFix,starcoder2-3b-baseline,different_size,True,2,43232,11161
humanevalfixtests-python__starcoder2-3b-lora-clean__instruct__20260415T184239Z-369868000,HumanEvalFix,starcoder2-3b-lora-clean,different_size,True,2,43648,11391
humanevalfixtests-python__starcoder2-3b-lora-dirty__instruct__20260415T185622Z-288412497,HumanEvalFix,starcoder2-3b-lora-dirty,different_size,True,2,48476,12251
humanevalfixtests-python__starcoder2-3b-lora-dirty__instruct__20260514T031603Z-649934236,HumanEvalFix,starcoder2-3b-lora-dirty,same_size,True,4,1188358,167495
humanevalfixtests-python__starcoder2-3b-lora-unclean__instruct__20260422T052456Z-686749582,HumanEvalFix,starcoder2-3b-lora-unclean,same_size,True,2,44843,11564
humanevalfixtests-python__starcoder2-3b-lora-unclean74k__instruct__20260415T190939Z-891932839,HumanEvalFix,starcoder2-3b-lora-unclean74k,different_size,True,2,42971,11238
humanevalfixtests-python__starcoder2-7b-baseline__instruct__20260415T183940Z-433536917,HumanEvalFix,starcoder2-7b-baseline,different_size,True,2,41848,11079
humanevalfixtests-python__starcoder2-7b-lora-clean__instruct__20260415T192519Z-583616200,HumanEvalFix,starcoder2-7b-lora-clean,different_size,True,2,44988,11638
humanevalfixtests-python__starcoder2-7b-lora-dirty__instruct__20260415T194412Z-863465259,HumanEvalFix,starcoder2-7b-lora-dirty,different_size,True,2,50360,12011
humanevalfixtests-python__starcoder2-7b-lora-dirty__instruct__20260512T162201Z-396732922,HumanEvalFix,starcoder2-7b-lora-dirty,same_size,True,3,109781,106081
humanevalfixtests-python__starcoder2-7b-lora-unclean__instruct__20260423T171045Z-033181999,HumanEvalFix,starcoder2-7b-lora-unclean,same_size,True,2,43721,11381
humanevalfixtests-python__starcoder2-7b-lora-unclean74k__instruct__20260415T204904Z-066065213,HumanEvalFix,starcoder2-7b-lora-unclean74k,different_size,True,2,49503,11718
